id,name,countries,length,area,discharge,outflow,continent,tributaries,min_temp,max_temp,avg_temp
80,Red River of the North,"United States, Canada",885,289500,288,Lake Winnipeg,North America,7,-10,10,0
81,Rio Negro,"Brazil, Colombia, Venezuela",2250,691000,29060,Amazon River,South America,10,24,28,26
82,Sutlej,"China, India, Pakistan",1450,395000,500,Indus River,Asia,8,10,25,17.5
83,Desna,"Russia, Ukraine",1130,88900,360,Dnieper River,Europe,6,5,15,10
84,Pechora,Russia,1809,322000,4040,Barents Sea,Europe,12,-10,5,-2.5
85,Tigris,"Turkey, Iraq, Syria",1850,375000,1200,Shatt al-Arab,Asia,10,20,30,25
86,Aras,"Turkey, Armenia, Iran, Azerbaijan",1072,102000,285,Kura River,Asia,11,10,25,17.5
87,Liard,Canada,1115,277100,3513,Mackenzie River,North America,15,-5,15,5
88,Vychegda,Russia,1130,121000,1795,Northern Dvina River,Europe,5,-10,5,-2.5
89,Olenyok,Russia,2292,220000,1210,Laptev Sea,Asia,5,-20,5,-7.5
90,Trombetas,Brazil,1300,133630,4055,Amazon River,South America,9,24,28,26
91,Kuskokwim,United States,1165,118000,1600,Bering Sea,North America,7,-10,10,0
92,Olenek,Russia,2292,210000,1400,Laptev Sea,Asia,5,-20,5,-7.5
93,Barito,Indonesia,900,70000,800,Java Sea,Asia,14,25,30,27.5
94,Ural,"Russia, Kazakhstan",2428,231000,400,Caspian Sea,Europe,10,-5,10,2.5
95,Teles Pires,Brazil,1370,141830,5300,Amazon River,South America,13,24,28,26
96,Arkansas,United States,2349,505000,800,Mississippi River,North America,12,10,30,20
97,Blue Nile,"Burundi, Tanzania, Rwanda, Uganda, DR Congo, Kenya, South Sudan, Sudan, Ethiopia, Eritrea, Egypt",1450,3254555,2800,Mediterranean Sea,Africa,2,20,30,25
98,Tapajós,Brazil,2100,487103,12849,Amazon River,South America,20,24,28,26
99,Po,Italy,652,74000,1500,Adriatic Sea,Europe,141,10,20,15
100,Limpopo,"Botswana, South Africa, Zimbabwe, Mozambique",1800,415000,170,Indian Ocean,Africa,24,20,30,25
